Number of keys,Morton codes (ms),Tree build times (ms),Tree descent (ms)
10,0.03686400130391121,0.013311999849975109,0.02252800017595291
10,0.03174399957060814,0.010239999741315842,0.01852799952030182
100,0.0655359998345375,0.010239999741315842,0.08601599931716919
1000,0.11776000261306763,0.010239999741315842,0.19046400487422943
10000,0.14028799533843994,0.009216000325977802,0.21503999829292297
100000,0.5898240208625793,0.025599999353289604,0.34303998947143555
1000000,5.254144191741943,0.14643199741840363,0.40959998965263367
10000000,51.60755157470703,1.3772799968719482,0.5806080102920532
